pattern_id,company,entry_mode,symbol,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win
W011,Alphabet,breakout,GOOGL,2026-05-12 15:40,386.56,382.45,394.78,2026-05-12 15:55,387.44,session_close,3,0.88,0.00228,0.21,True
W012,Alphabet,breakout,GOOGL,2026-05-13 12:05,398.38,391.67,411.8,2026-05-13 15:25,403.03,time_exit,40,4.65,0.01167,0.69,True
W014,Alphabet,breakout,GOOGL,2026-05-14 11:40,399.075,394.56,408.105,2026-05-14 15:00,400.75,time_exit,40,1.675,0.0042,0.37,True
W016,Alphabet,breakout,GOOGL,2026-05-15 13:35,397.855,393.77,406.025,2026-05-15 15:55,396.79,session_close,28,-1.065,-0.00268,-0.26,False
W017,Alphabet,breakout,GOOGL,2026-05-18 13:10,402.26,398.33,410.12,2026-05-18 14:20,398.33,stop,14,-3.93,-0.00977,-1.0,False
W018,Alphabet,breakout,GOOGL,2026-05-19 12:55,389.614,384.62,399.602,2026-05-19 15:55,387.7,session_close,36,-1.914,-0.00491,-0.38,False
W019,Alphabet,breakout,GOOGL,2026-05-20 11:50,386.9,382.1,396.5,2026-05-20 15:10,387.28,time_exit,40,0.38,0.00098,0.08,True
W021,Alphabet,breakout,GOOGL,2026-05-21 13:20,390.18,385.44,399.66,2026-05-21 15:55,387.66,session_close,31,-2.52,-0.00646,-0.53,False
W022,Alphabet,breakout,GOOGL,2026-05-26 11:10,389.0511,383.62,399.9133,2026-05-26 14:30,386.45,time_exit,40,-2.6011,-0.00669,-0.48,False
W023,Alphabet,breakout,GOOGL,2026-05-26 15:30,387.21,383.78,394.07,2026-05-26 15:55,388.9601,session_close,5,1.7501,0.00452,0.51,True
W024,Alphabet,breakout,GOOGL,2026-05-27 12:35,392.5201,387.86,401.8403,2026-05-27 15:55,388.865,time_exit,40,-3.6551,-0.00931,-0.78,False
W025,Alphabet,breakout,GOOGL,2026-05-28 11:05,390.935,383.95,404.905,2026-05-28 14:25,390.54,time_exit,40,-0.395,-0.00101,-0.06,False
W026,Alphabet,breakout,GOOGL,2026-05-28 14:35,390.91,387.44,397.85,2026-05-28 15:55,390.17,session_close,16,-0.74,-0.00189,-0.21,False
W001,Meta Platforms,breakout,META,2026-05-01 12:25,611.675,606.91,621.205,2026-05-01 15:45,611.535,time_exit,40,-0.14,-0.00023,-0.03,False
W003,Meta Platforms,breakout,META,2026-05-04 10:45,610.02,599.74,630.5801,2026-05-04 14:05,613.215,time_exit,40,3.195,0.00524,0.31,True
W005,Meta Platforms,breakout,META,2026-05-05 15:25,605.27,597.36,621.0901,2026-05-05 15:55,605.08,session_close,6,-0.19,-0.00031,-0.02,False
W006,Meta Platforms,breakout,META,2026-05-06 13:10,613.86,608.21,625.16,2026-05-06 15:55,612.54,session_close,33,-1.32,-0.00215,-0.23,False
W007,Meta Platforms,breakout,META,2026-05-07 10:55,624.645,616.34,641.2551,2026-05-07 12:20,616.34,stop,17,-8.305,-0.0133,-1.0,False
W008,Meta Platforms,breakout,META,2026-05-07 14:00,616.05,610.47,627.21,2026-05-07 15:55,616.96,session_close,23,0.91,0.00148,0.16,True
W009,Meta Platforms,breakout,META,2026-05-08 14:05,611.1758,605.05,623.4273,2026-05-08 15:55,609.64,session_close,22,-1.5358,-0.00251,-0.25,False
W010,Meta Platforms,breakout,META,2026-05-11 11:55,603.715,597.15,616.8451,2026-05-11 15:15,598.9799,time_exit,40,-4.7351,-0.00784,-0.72,False
W011,Meta Platforms,breakout,META,2026-05-12 15:25,602.0,596.0,614.0,2026-05-12 15:55,603.13,session_close,6,1.13,0.00188,0.19,True
W012,Meta Platforms,breakout,META,2026-05-13 11:30,606.44,600.19,618.94,2026-05-13 14:35,618.94,target,37,12.5,0.02061,2.0,True
W015,Meta Platforms,breakout,META,2026-05-14 12:05,622.9,614.83,639.0401,2026-05-14 15:25,617.18,time_exit,40,-5.72,-0.00918,-0.71,False
W016,Meta Platforms,breakout,META,2026-05-15 10:55,615.005,606.73,631.555,2026-05-15 14:15,619.44,time_exit,40,4.435,0.00721,0.54,True
W018,Meta Platforms,breakout,META,2026-05-18 13:10,610.665,602.97,626.0549,2026-05-18 15:55,611.33,session_close,33,0.665,0.00109,0.09,True
W020,Meta Platforms,breakout,META,2026-05-20 10:55,604.55,594.82,624.01,2026-05-20 14:15,604.71,time_exit,40,0.16,0.00026,0.02,True
W022,Meta Platforms,breakout,META,2026-05-21 11:00,599.51,591.83,614.87,2026-05-21 14:20,608.77,time_exit,40,9.26,0.01545,1.21,True
W024,Meta Platforms,breakout,META,2026-05-22 14:40,611.5,605.02,624.46,2026-05-22 15:55,610.37,session_close,15,-1.13,-0.00185,-0.17,False
W025,Meta Platforms,breakout,META,2026-05-26 12:35,610.85,603.87,624.8099,2026-05-26 15:55,612.34,time_exit,40,1.4901,0.00244,0.21,True
W027,Meta Platforms,breakout,META,2026-05-27 14:05,620.83,606.16,650.1701,2026-05-27 15:55,635.255,session_close,22,14.425,0.02324,0.98,True
W028,Meta Platforms,breakout,META,2026-05-28 12:20,633.26,627.71,644.36,2026-05-28 15:40,634.355,time_exit,40,1.095,0.00173,0.2,True
W031,Meta Platforms,breakout,META,2026-05-29 13:50,626.38,620.7,637.74,2026-05-29 15:55,632.52,end_of_data,25,6.14,0.0098,1.08,True
W001,Tesla,breakout,TSLA,2026-05-01 13:45,397.0401,389.05,413.0203,2026-05-01 15:55,390.66,session_close,26,-6.3801,-0.01607,-0.8,False
W002,Tesla,breakout,TSLA,2026-05-04 12:20,388.57,382.88,399.95,2026-05-04 15:40,392.52,time_exit,40,3.95,0.01017,0.69,True
W004,Tesla,breakout,TSLA,2026-05-05 14:05,392.97,387.06,404.79,2026-05-05 15:55,389.35,session_close,22,-3.62,-0.00921,-0.61,False
W005,Tesla,breakout,TSLA,2026-05-06 11:50,394.715,389.11,405.925,2026-05-06 15:10,400.75,time_exit,40,6.035,0.01529,1.08,True
W007,Tesla,breakout,TSLA,2026-05-07 10:45,415.28,406.36,433.12,2026-05-07 12:00,406.36,stop,15,-8.92,-0.02148,-1.0,False
W008,Tesla,breakout,TSLA,2026-05-07 14:15,407.515,401.54,419.465,2026-05-07 15:55,411.8,session_close,20,4.285,0.01051,0.72,True
W009,Tesla,breakout,TSLA,2026-05-08 14:25,428.43,424.33,436.63,2026-05-08 15:55,428.32,session_close,18,-0.11,-0.00026,-0.03,False
W010,Tesla,breakout,TSLA,2026-05-11 11:05,424.9199,416.56,441.6397,2026-05-11 11:45,441.6397,target,8,16.7198,0.03935,2.0,True
W011,Tesla,breakout,TSLA,2026-05-11 12:35,441.94,434.08,457.66,2026-05-11 15:55,445.03,time_exit,40,3.09,0.00699,0.39,True
W014,Tesla,breakout,TSLA,2026-05-12 14:05,428.65,422.48,440.99,2026-05-12 15:55,433.45,session_close,22,4.8,0.0112,0.78,True
W016,Tesla,breakout,TSLA,2026-05-13 14:10,449.53,444.37,459.85,2026-05-13 15:25,444.37,stop,15,-5.16,-0.01148,-1.0,False
W017,Tesla,breakout,TSLA,2026-05-14 11:10,446.15,438.95,460.55,2026-05-14 14:30,444.27,time_exit,40,-1.88,-0.00421,-0.26,False
W019,Tesla,breakout,TSLA,2026-05-15 13:10,426.345,421.58,435.875,2026-05-15 15:55,422.13,session_close,33,-4.215,-0.00989,-0.88,False
W020,Tesla,breakout,TSLA,2026-05-18 12:10,413.03,405.82,427.45,2026-05-18 14:15,405.82,stop,25,-7.21,-0.01746,-1.0,False
W021,Tesla,breakout,TSLA,2026-05-18 15:05,409.65,403.3,422.35,2026-05-18 15:55,410.07,session_close,10,0.42,0.00103,0.07,True
W022,Tesla,breakout,TSLA,2026-05-19 12:05,398.455,393.52,408.325,2026-05-19 15:25,404.09,time_exit,40,5.635,0.01414,1.14,True
W025,Tesla,breakout,TSLA,2026-05-20 10:55,411.8,404.36,426.68,2026-05-20 14:15,412.45,time_exit,40,0.65,0.00158,0.09,True
W028,Tesla,breakout,TSLA,2026-05-21 11:20,416.975,410.84,429.245,2026-05-21 14:40,420.62,time_exit,40,3.645,0.00874,0.59,True
W030,Tesla,breakout,TSLA,2026-05-22 12:05,430.415,423.92,443.405,2026-05-22 15:25,425.875,time_exit,40,-4.54,-0.01055,-0.7,False
W033,Tesla,breakout,TSLA,2026-05-26 10:45,431.3,423.99,445.92,2026-05-26 14:05,432.46,time_exit,40,1.16,0.00269,0.16,True
W036,Tesla,breakout,TSLA,2026-05-27 10:45,443.7001,433.34,464.4203,2026-05-27 14:05,441.86,time_exit,40,-1.8401,-0.00415,-0.18,False
W038,Tesla,breakout,TSLA,2026-05-28 12:20,442.75,434.91,458.43,2026-05-28 15:40,442.47,time_exit,40,-0.28,-0.00063,-0.04,False
W040,Tesla,breakout,TSLA,2026-05-29 11:05,433.16,426.06,447.36,2026-05-29 14:25,437.72,time_exit,40,4.56,0.01053,0.64,True
