symbol,pattern_id,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win
SNDK,W033,2026-05-28 12:30,1686.6,1662.15,1735.4999,2026-05-28 14:00,1662.15,stop,18,-24.45,-0.0145,-1.0,False
SNDK,W035,2026-05-29 12:10,1679.995,1657.77,1724.445,2026-05-29 14:15,1657.77,stop,25,-22.225,-0.01323,-1.0,False
GLW,W001,2026-05-01 13:05,160.745,158.21,165.815,2026-05-01 15:55,158.21,stop,34,-2.535,-0.01577,-1.0,False
GLW,W002,2026-05-04 13:05,161.2001,157.52,168.5603,2026-05-04 15:55,160.18,session_close,34,-1.0201,-0.00633,-0.28,False
GLW,W003,2026-05-05 11:40,165.16,161.69,172.1,2026-05-05 14:40,161.69,stop,36,-3.47,-0.02101,-1.0,False
GLW,W005,2026-05-06 13:55,184.95,181.19,192.47,2026-05-06 15:50,181.19,stop,23,-3.76,-0.02033,-1.0,False
GLW,W006,2026-05-07 12:45,182.845,177.11,194.315,2026-05-07 15:55,182.44,session_close,38,-0.405,-0.00221,-0.07,False
GLW,W008,2026-05-08 14:30,189.42,186.03,196.2,2026-05-08 15:25,186.03,stop,11,-3.39,-0.0179,-1.0,False
GLW,W009,2026-05-11 11:00,204.8301,194.94,224.6103,2026-05-11 14:20,208.275,time_exit,40,3.4449,0.01682,0.35,True
GLW,W011,2026-05-12 12:30,191.6599,188.63,197.7197,2026-05-12 12:40,188.63,stop,2,-3.0299,-0.01581,-1.0,False
GLW,W012,2026-05-12 15:35,198.11,194.04,206.25,2026-05-12 15:55,198.3,session_close,4,0.19,0.00096,0.05,True
GLW,W013,2026-05-13 12:10,203.845,200.34,210.855,2026-05-13 14:15,210.855,target,25,7.01,0.03439,2.0,True
GLW,W016,2026-05-14 11:10,207.8025,202.28,218.8475,2026-05-14 14:30,208.35,time_exit,40,0.5475,0.00263,0.1,True
GLW,W019,2026-05-15 13:55,196.37,193.61,201.89,2026-05-15 15:45,193.61,stop,22,-2.76,-0.01406,-1.0,False
GLW,W020,2026-05-18 15:40,178.03,174.84,184.41,2026-05-18 15:55,178.58,session_close,3,0.55,0.00309,0.17,True
GLW,W021,2026-05-19 12:30,175.5,171.87,182.76,2026-05-19 15:50,175.05,time_exit,40,-0.45,-0.00256,-0.12,False
GLW,W023,2026-05-20 11:20,182.85,178.35,191.85,2026-05-20 13:15,178.35,stop,23,-4.5,-0.02461,-1.0,False
GLW,W024,2026-05-20 14:05,180.12,177.34,185.68,2026-05-20 15:55,180.69,session_close,22,0.57,0.00316,0.21,True
GLW,W026,2026-05-21 13:10,188.28,185.55,193.74,2026-05-21 15:55,193.74,target,33,5.46,0.029,2.0,True
GLW,W028,2026-05-22 10:35,193.77,188.39,204.53,2026-05-22 13:55,193.79,time_exit,40,0.02,0.0001,0.0,True
GLW,W030,2026-05-26 12:25,198.415,194.77,205.705,2026-05-26 15:45,197.685,time_exit,40,-0.73,-0.00368,-0.2,False
GLW,W032,2026-05-27 12:20,190.04,184.93,200.26,2026-05-27 15:40,192.315,time_exit,40,2.275,0.01197,0.45,True
GLW,W034,2026-05-27 15:40,192.86,190.41,197.76,2026-05-27 15:55,190.94,session_close,3,-1.92,-0.00996,-0.78,False
GLW,W035,2026-05-28 11:25,191.96,186.42,203.04,2026-05-28 13:00,186.42,stop,19,-5.54,-0.02886,-1.0,False
GLW,W036,2026-05-28 14:20,185.81,182.94,191.55,2026-05-28 15:50,182.94,stop,18,-2.87,-0.01545,-1.0,False
GLW,W037,2026-05-29 11:15,176.91,173.91,182.91,2026-05-29 14:35,177.155,time_exit,40,0.245,0.00138,0.08,True
GLW,W038,2026-05-29 15:15,177.59,175.51,181.75,2026-05-29 15:55,181.75,target,8,4.16,0.02342,2.0,True
OKLO,W001,2026-05-01 12:15,70.585,68.9,73.955,2026-05-01 15:35,70.585,time_exit,40,0.0,0.0,0.0,False
OKLO,W002,2026-05-01 15:40,70.6,69.64,72.52,2026-05-01 15:55,70.43,session_close,3,-0.17,-0.00241,-0.18,False
