entry_mode,swing_window,low_tolerance_pct,max_second_low_undercut_pct,min_rebound_pct,breakout_lookahead,breakout_buffer_pct,require_volume_confirmation,volume_multiplier,max_first_low_to_neckline_bars,max_neckline_to_second_low_bars,stop_buffer_pct,reward_risk,max_hold_bars,closed_trades,wins,hit_rate_pct,avg_return_pct,total_return_pct,avg_r_multiple
breakout,2,0.012,0.008,0.006,12,0.0,False,1.05,24,24,0.005,2.5,40,47,21,44.68,-0.039,-1.816,-0.018
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,2.0,12,45,21,46.67,0.093,4.184,0.066
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,2.0,12,45,21,46.67,0.07,3.165,0.063
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,2.5,12,45,21,46.67,0.067,3.023,0.061
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,3.0,12,45,21,46.67,0.067,3.023,0.061
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,2.5,12,45,21,46.67,0.079,3.552,0.059
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,3.0,12,45,21,46.67,0.079,3.552,0.059
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,2.5,20,44,19,43.18,0.027,1.193,0.025
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.005,2.0,20,44,19,43.18,0.019,0.858,0.018
breakout,2,0.012,0.008,0.006,12,0.0006,False,1.05,24,24,0.0025,2.0,20,44,19,43.18,0.008,0.331,0.014
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,2.5,40,43,21,48.84,0.005,0.213,0.009
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,2.0,40,43,21,48.84,-0.015,-0.649,-0.003
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,2.0,40,43,21,48.84,-0.036,-1.528,-0.018
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,2.0,12,43,20,46.51,0.094,4.05,0.069
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,2.0,12,43,20,46.51,0.07,3.031,0.066
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,2.5,12,43,20,46.51,0.067,2.889,0.064
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.0025,3.0,12,43,20,46.51,0.067,2.889,0.064
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,2.5,12,43,20,46.51,0.079,3.418,0.061
breakout,2,0.006,0.006,0.006,12,0.0006,False,1.05,24,24,0.005,3.0,12,43,20,46.51,0.079,3.418,0.061
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.0025,3.0,40,43,20,46.51,-0.019,-0.815,-0.013
breakout,2,0.006,0.006,0.006,12,0.0,False,1.05,24,24,0.005,3.0,40,43,20,46.51,-0.038,-1.649,-0.023
